DeliveryPeriod,3000.0P,203.99P,95.2P,56.11P,41.07P,31.0P,23.4P,16.01P,9.1P,0.8P,-8.49P,-21.62P,-41.49P,-70.0P,-400.92P,-500.0P,-500.0S,-6.01S,15.59S,29.39S,38.0S,45.0S,51.31S,58.17S,65.0S,71.6S,79.29S,87.7S,97.07S,108.29S,122.48S,142.12S,170.99S,234.11S,380.24S,452.99S,498.9S,2781.38S,3000.0S
2020-05-22 10:00:00,2204.186370264867,34578.586933861494,27103.85866160321,14360.535255464445,-11889.301309410002,14355.308804739223,23107.83625980747,21857.711201302798,38328.54342502954,43857.17532260851,49447.155596399156,53450.07171326634,33483.58345324211,33373.86131726277,55340.237172628615,4401.5710931375215,1521.1865554483961,56306.956799355525,83811.95538122919,112162.13452155993,118203.22446200563,71085.45520090194,55770.239753988644,45669.366702044106,39520.08036171251,30138.066829956235,16729.604985503905,17727.29658945144,17134.550057920376,5620.071280414355,16856.70416416367,16657.961513631697,16051.010651714732,24786.198647380632,15664.77372149382,39210.686567056044,22690.96822843791,12528.25039383776,5989.747886927555
2020-05-22 11:00:00,2184.7758186018796,34445.673414186196,15894.783632022045,21774.989734760904,-12942.35924825137,12153.882284502062,22604.913522187857,19891.16742594279,38667.501270917026,47119.34976712175,51809.79259644614,50571.2785754821,31110.44473540776,30261.245153559677,57436.09218160182,4534.298809775127,1575.2752572698569,56531.99404435266,77861.19934068524,118760.6928704441,124558.49374862979,72647.23470377439,61809.00293742173,43844.84739855973,40030.1513066671,28356.40375179501,17547.240825958026,20448.20272444437,21246.834008833077,9229.500197178058,18003.466430639186,14579.71635210776,11778.51709547454,21318.849188119573,18472.25352775952,39319.95353509736,22869.53568604929,12655.926414158013,6051.895281470749
2020-05-22 12:00:00,2177.6829510398147,36476.219038507945,13521.499999194108,26020.13014177362,-17034.52912756292,-586.2546027749777,20014.857154830832,22750.16043062923,41187.69511259051,49535.59912980854,50342.16524451138,41525.065137981444,29927.30410400952,26722.61153608108,59167.829828659975,4612.356435317036,1618.1783050005552,55454.09067939456,75593.50698580052,117993.32764862214,115236.34142852566,73331.12547471527,56320.781190154055,48704.79315462526,35464.75125589246,25651.388891606795,19783.95083493441,20700.91879822788,25508.67816982025,14921.587373546583,17586.945775525906,16378.013151929346,16227.403219270484,25051.19950309993,18946.62883619018,39712.66772187212,23022.1546027328,13028.162858064508,6063.9140838572475
2020-05-22 13:00:00,2160.6114955422563,38135.180834782564,13642.184948207294,27498.446730590258,-15241.819552494337,-4402.313970239098,16839.791389892733,25496.500725726175,43546.845105087916,48688.54768433747,46048.50307727902,45021.58052325985,28654.61092637752,27476.56261318916,61025.378076437264,4673.437786486156,1595.844803648004,55467.64424970401,72862.1715443922,121599.26111837555,98530.76415825263,74661.46073340012,59389.98244413515,46214.21984029118,32298.597863128736,27855.635713265103,26885.015110297147,24030.686090805943,30160.588205977816,14221.629978768407,18209.324218569694,21144.368987238908,21505.356735018686,30128.186670191753,16334.743520673852,40544.678879134706,23014.796817957365,12661.461705036578,6108.45977929113
2020-05-22 14:00:00,2114.9084850652184,35947.56157008526,11947.734853116875,33236.42450271705,-14144.475824208399,-1663.4791101079027,16831.99089979533,24190.229979975204,38542.21427010256,45036.20943157502,40844.119640143464,42200.22320734581,34059.845797984424,26265.69572277619,61700.47713673355,4641.040527544392,1615.3051938347958,55199.207264973105,75959.60082765413,110241.06507749585,104145.92441436456,67246.38099247051,50656.19895158585,48199.54419626825,26687.004031358367,33209.91687367324,26262.391703809088,29438.635183608752,29109.99447299704,19071.24261567408,24104.272982990537,17877.865453210765,22075.53609799513,30214.15232747153,15883.077738313004,40906.57098989041,22959.279787820233,13976.715435255473,6122.403019993062
2020-05-22 15:00:00,2080.053809795844,35634.42393223792,8994.810339610081,37456.959999206134,-14268.182172083383,3674.742749654106,16050.907858167164,21216.684766766142,35956.282140499425,39922.88671850292,44264.20277177596,43444.1450712672,35575.49544364939,26095.135088212613,59735.94372697915,4581.355348096178,1630.4863522488213,53746.87093754995,77201.57662604717,110094.47511738367,106550.30260196983,68853.74237506217,53016.812418577414,40119.68887429323,22355.833310120324,35741.28422967037,27929.450195039113,30552.010595476415,25802.628809500387,18749.16043981905,22930.19053762026,18070.547114248282,22772.70257083427,29965.617061818906,14775.190534308884,41251.56531959041,31943.674220258385,22335.88258828273,6161.931474376178
2020-05-22 16:00:00,2127.662885795079,37356.63063037076,8449.342876812727,19916.838951975627,-11787.061378829821,11679.878610980144,13365.617407311227,21321.851647239775,37191.89075555325,40434.88469752161,39585.39852900454,37235.244595412696,35857.9736627539,27605.14082703799,60059.64302259822,4561.6151191190065,1678.8416034332406,57900.917302657304,76188.89922841138,98789.88345942716,104269.73515175376,66835.7468819297,50105.60029843694,39519.69396907273,28141.131529481456,38982.236251316746,32846.6410673909,30862.922055264004,27942.571338013564,18035.760630349578,19740.46872024509,17637.34437821368,22648.174214976483,32059.327159401266,12632.16338097104,40508.15141296115,22760.19709663058,22728.458437818266,6118.733903445642
2020-05-22 17:00:00,2275.367425223851,47923.96070959397,13790.956027470012,15312.776802284694,-1909.733525877542,16400.882893305185,25442.185715320265,28841.41846726673,45194.05325923741,47486.59045502286,46729.492804414615,40087.18678369355,31096.728248336556,30472.246092800175,54606.332291872306,4689.8785920111295,1718.4638974998086,57849.81297074037,69486.29243786495,94059.69678165522,101024.25129336258,87132.03433900067,52456.34096218627,47994.11907862232,32633.806449228377,40272.88040405807,35151.36239853576,35694.69791675161,28132.181603575904,26325.06821741534,20510.21868053683,20590.110218729566,17943.945379497483,25666.821015196634,11185.270235061686,43961.939550226794,22773.56272804118,24028.815718432954,6149.63666464264
2020-05-22 18:00:00,2294.0955644047176,48380.06835553765,10412.440550832805,-9718.417510220432,17548.396763216588,25402.348150189515,35517.30456475989,42970.723611787165,58027.73933581482,48095.33472489827,40409.77133927696,29658.425896565404,23523.319705198384,26642.83844771416,51667.914351797765,4847.00505770856,1750.5224628293574,50187.51750595348,51154.56477640933,88237.26382531496,89587.12068643111,82265.6061666112,62396.39562201344,55474.60655085715,47137.71981490492,46754.921587243094,38234.47197667419,25051.818893397358,28339.487066964597,29023.263319334415,23929.87496774889,22333.601835004676,22171.358814170224,15736.103603798765,-2901.4559029911106,44824.60662199162,22565.781532194087,12516.68805654903,6076.859412405422
2020-05-22 19:00:00,2297.1521651631874,48434.67732888786,32496.676429170013,-25865.016992917153,29186.722614567276,27305.356692880636,44590.400841830575,51815.190089079755,52871.07223794687,47036.62473004191,40475.14668334061,23288.614556303724,21018.881708079873,29295.683646168753,48019.55037031093,4873.05180947894,1693.3624965379836,49887.657162689786,57152.940407318594,62838.69567756278,82911.39622036438,64704.428889698385,63904.56334329127,56357.69176722168,58254.37214580629,42309.02338823732,44276.18817991912,37067.03932944608,38774.19638085741,25236.958483046594,25828.46117587661,18827.493010170037,22149.593950235067,16359.042472833913,4411.387520145217,44288.937237614104,22407.326435577826,12779.176424899179,5996.8149161682995
2020-05-22 20:00:00,2268.9780391723484,45416.289507694564,46190.36136712,-17273.24218772966,14742.320552585938,23819.159285190537,34455.31243016374,41872.55850712954,48245.625966492145,42777.541290088404,38954.909984630154,31083.092224347158,26812.590084960353,30085.006652047003,49549.09174396108,4700.656717451224,1649.353624232421,47282.074588380914,63284.65548843215,82924.53871254013,74101.92850327448,104273.19952041679,66112.87420433703,58212.45918091228,50892.77925127181,49621.66008793974,40076.777749949055,35960.12297323189,25930.92721878064,29264.94101088873,21083.526205834005,20332.528931809004,20116.159065564516,30230.245690176584,10557.261167078297,44280.77445077464,29118.34060910224,10953.133105783652,5934.589429911195
2020-05-22 21:00:00,2179.2919018855177,34932.68700143567,18411.05736163755,8374.43045926647,-6401.203835636115,22877.497108542047,21190.01785837679,39661.176145955564,51686.60233777139,43395.026889265544,46971.03955614811,36731.875983402824,33065.78632585381,30424.892751904863,48027.093180136886,4578.870608087587,1521.2839036123296,46135.27740997232,61955.50687146123,79623.32004144232,77576.56494657288,77686.40430448037,59994.83251001101,56120.288899218576,49502.849162880346,39950.115937746414,38115.766981756686,27690.39704541989,20762.678412419504,32280.56903306607,22200.920704603916,22541.212075665873,22663.817142840555,29290.581276287747,13402.354580065752,40156.88406015056,27647.377856706924,12649.684888931608,5949.803629951557
2020-05-22 22:00:00,2106.309122756291,33806.20632367276,8910.09382893554,42138.94149611286,-13586.266781160579,13130.804985195049,20293.34027250658,24072.60129530631,40121.62529904748,47868.534537963096,48696.7780053504,39335.040342737884,29721.973512012093,35042.647396754124,51906.25034725452,4462.944699146934,1462.1528024550657,43472.04397771963,65702.42424257228,88654.02134936723,77205.1596447468,69555.1357004288,43964.491203494996,50950.69314417846,35626.68448484575,35284.81405027167,33204.046242696575,27623.063380367654,27828.32672141179,21132.336574716795,24743.710151882027,24398.36301411579,26937.549464266427,32019.417667541893,20055.811304151346,39120.3154918235,30940.817341974293,12325.186542709416,5957.20623568788
2020-05-22 23:00:00,2000.328849266813,32509.85135763273,4697.983278864722,55491.79528192758,-7251.244798275391,-5994.888102713325,4169.2777697627425,16348.284967670836,33453.12470954126,46419.2529783143,55000.50258329774,46835.80695891767,44042.80735656251,34699.5822459418,52721.876165798116,4223.499442433917,1334.4368639843747,41680.199578213214,68054.18691657782,87837.73403447022,77993.13596747286,61251.17334731972,39024.403721831244,28025.19137334023,21123.124933705025,20603.220293746475,28269.9323422764,26338.36999690981,18301.85801673555,16082.070876486192,18311.625136094346,19837.115201275294,26164.909281096894,25089.25313669,18191.394005064045,38707.15140901301,27523.441181583756,31368.3146020547,6080.023493308853
