SellPrice,index
-500.0,1.0
-499.95,1.0
-499.0,0.027980443775855585
-300.0,0.0018051899210229409
-250.0,0.007972922151184655
-200.0,0.0052651372696502444
-150.0,1.0
-125.0,0.0018051899210229409
-100.0,0.017826250470101543
-75.0,0.003008649868371568
-70.0,0.1590071455434374
-55.0,0.0013538924407672057
-50.1,0.8970289582549831
-50.0,0.727942835652501
-44.0,0.000376081233546446
-41.0,0.0015795411808950733
-40.0,0.0074464084242196315
-35.0,0.0042873260624294845
-34.0,0.0005265137269650245
-33.08,7.521624670928921e-05
-32.89,7.521624670928921e-05
-31.0,7.521624670928921e-05
-30.67,0.0012786761940579165
-30.64,0.0012034599473486273
-30.0,0.06965024445280181
-29.75,7.521624670928921e-05
-29.69,0.0002256487401278676
-29.48,0.000376081233546446
-29.45,0.0009025949605114704
-29.43,0.0006017299736743137
-29.42,0.00030086498683715683
-29.41,0.00015043249341857841
-29.4,7.521624670928921e-05
-29.38,0.00015043249341857841
-29.35,0.0002256487401278676
-29.23,7.521624670928921e-05
-29.21,7.521624670928921e-05
-29.2,7.521624670928921e-05
-29.11,7.521624670928921e-05
-29.0,7.521624670928921e-05
-28.8,7.521624670928921e-05
-28.77,7.521624670928921e-05
-27.79,0.00015043249341857841
-27.72,7.521624670928921e-05
-27.6,0.0002256487401278676
-27.18,7.521624670928921e-05
-27.01,7.521624670928921e-05
-27.0,7.521624670928921e-05
-26.88,7.521624670928921e-05
-26.07,7.521624670928921e-05
-26.02,7.521624670928921e-05
-26.0,7.521624670928921e-05
-25.23,0.00015043249341857841
-25.04,7.521624670928921e-05
-25.03,7.521624670928921e-05
-25.0,0.08311395261376457
-24.65,7.521624670928921e-05
-24.46,7.521624670928921e-05
-24.31,7.521624670928921e-05
-24.0,0.0006017299736743137
-23.94,7.521624670928921e-05
-23.93,7.521624670928921e-05
-23.88,7.521624670928921e-05
-23.85,7.521624670928921e-05
-23.45,7.521624670928921e-05
-23.27,7.521624670928921e-05
-23.14,7.521624670928921e-05
-23.08,7.521624670928921e-05
-22.99,7.521624670928921e-05
-22.52,0.00015043249341857841
-22.3,7.521624670928921e-05
-22.26,7.521624670928921e-05
-22.23,7.521624670928921e-05
-22.21,0.00015043249341857841
-22.08,7.521624670928921e-05
-22.0,7.521624670928921e-05
-21.98,7.521624670928921e-05
-21.93,7.521624670928921e-05
-21.85,7.521624670928921e-05
-21.8,7.521624670928921e-05
-21.66,7.521624670928921e-05
-21.59,7.521624670928921e-05
-21.57,7.521624670928921e-05
-21.0,0.15156073711921775
-20.98,7.521624670928921e-05
-20.93,7.521624670928921e-05
-20.79,7.521624670928921e-05
-20.49,0.0002256487401278676
-20.28,7.521624670928921e-05
-20.18,7.521624670928921e-05
-20.1,0.0018051899210229409
-20.08,7.521624670928921e-05
-20.05,7.521624670928921e-05
-20.0,0.9999247837532907
-19.93,7.521624670928921e-05
-19.51,7.521624670928921e-05
-19.49,0.0005265137269650245
-19.17,0.00030086498683715683
-19.09,7.521624670928921e-05
-18.97,7.521624670928921e-05
-18.93,7.521624670928921e-05
-18.92,7.521624670928921e-05
-18.78,7.521624670928921e-05
-18.57,7.521624670928921e-05
-18.54,7.521624670928921e-05
-18.49,7.521624670928921e-05
-18.43,7.521624670928921e-05
-18.17,0.0002256487401278676
-18.0,0.0008273787138021812
-17.88,7.521624670928921e-05
-17.86,7.521624670928921e-05
-17.61,7.521624670928921e-05
-17.49,7.521624670928921e-05
-17.36,7.521624670928921e-05
-17.34,7.521624670928921e-05
-17.1,7.521624670928921e-05
-17.0,0.00015043249341857841
-16.98,7.521624670928921e-05
-16.84,7.521624670928921e-05
-16.81,7.521624670928921e-05
-16.8,7.521624670928921e-05
-16.75,0.0006017299736743137
-16.5,7.521624670928921e-05
-16.49,0.001429108687476495
-16.26,7.521624670928921e-05
-16.17,0.0002256487401278676
-16.11,7.521624670928921e-05
-16.09,7.521624670928921e-05
-16.03,0.0018051899210229409
-16.0,0.11891688604738623
-15.98,7.521624670928921e-05
-15.72,7.521624670928921e-05
-15.62,7.521624670928921e-05
-15.52,7.521624670928921e-05
-15.51,7.521624670928921e-05
-15.5,0.00015043249341857841
-15.49,7.521624670928921e-05
-15.45,0.0012786761940579165
-15.4,0.00473862354268522
-15.38,0.0012786761940579165
-15.35,0.0012786761940579165
-15.32,0.0002256487401278676
-15.29,0.002557352388115833
-15.27,0.0012786761940579165
-15.23,7.521624670928921e-05
-15.22,7.521624670928921e-05
-15.21,0.0013538924407672057
-15.18,0.0004512974802557352
-15.17,0.000376081233546446
-15.11,0.0012786761940579165
-15.1,0.0072207596840917635
-15.09,0.0018051899210229409
-15.08,0.004889056036103798
-15.07,0.0018051899210229409
-15.05,0.0036103798420458817
-15.04,0.0018051899210229409
-15.03,0.0018051899210229409
-15.02,0.009025949605114705
-15.01,0.005415569763068823
-15.0,0.7459947348627304
-14.99,0.005415569763068823
-14.98,0.003685596088755171
-14.95,0.010831139526137646
-14.93,0.0018051899210229409
-14.91,0.005415569763068823
-14.9,0.00188040616773223
-14.87,7.521624670928921e-05
-14.85,7.521624670928921e-05
-14.82,0.00030086498683715683
-14.76,7.521624670928921e-05
-14.69,7.521624670928921e-05
-14.64,7.521624670928921e-05
-14.62,7.521624670928921e-05
-14.52,7.521624670928921e-05
-14.51,0.00015043249341857841
-14.49,0.0002256487401278676
-14.47,7.521624670928921e-05
-14.2,7.521624670928921e-05
-14.18,0.00015043249341857841
-14.17,0.00030086498683715683
-14.1,0.00015043249341857841
-14.09,7.521624670928921e-05
-14.04,7.521624670928921e-05
-14.0,0.0008273787138021812
-13.98,0.00015043249341857841
-13.83,7.521624670928921e-05
-13.81,7.521624670928921e-05
-13.73,7.521624670928921e-05
-13.57,7.521624670928921e-05
-13.56,7.521624670928921e-05
-13.49,0.00015043249341857841
-13.47,7.521624670928921e-05
-13.35,7.521624670928921e-05
-13.32,0.00015043249341857841
-13.18,0.0002256487401278676
-13.17,0.00030086498683715683
-13.08,7.521624670928921e-05
-13.02,7.521624670928921e-05
-12.97,7.521624670928921e-05
-12.93,7.521624670928921e-05
-12.73,7.521624670928921e-05
-12.56,0.0006017299736743137
-12.54,0.00015043249341857841
-12.52,7.521624670928921e-05
-12.5,7.521624670928921e-05
-12.49,0.0002256487401278676
-12.48,7.521624670928921e-05
-12.47,7.521624670928921e-05
-12.35,7.521624670928921e-05
-12.32,0.0016547574276043625
-12.29,0.00015043249341857841
-12.26,7.521624670928921e-05
-12.2,7.521624670928921e-05
-12.18,0.00030086498683715683
-12.11,0.0006017299736743137
-12.1,7.521624670928921e-05
-12.08,0.0002256487401278676
-12.07,7.521624670928921e-05
-12.0,0.002181271154569387
-11.99,0.001429108687476495
